Time,UeId,FlowId,Direction,SrcAddr,DstAddr,Throughput_kbps,Latency_ms,Jitter_ms,PacketLoss
0.4,6,1,UL,7.0.0.2,1.0.0.2,4440.96,14.0942,2.65065,0
0.4,7,2,UL,7.0.0.3,1.0.0.2,4440.96,9.08176,1.78386,0
0.4,8,3,UL,7.0.0.4,1.0.0.2,4852.16,8.13678,2.02263,0
0.4,9,4,UL,7.0.0.5,1.0.0.2,4605.44,10.2764,2.23975,0
0.4,10,5,UL,7.0.0.6,1.0.0.2,9457.6,12.1779,0.321942,0
0.4,11,6,UL,7.0.0.7,1.0.0.2,30264.3,10.9434,0.419952,0
0.4,12,7,UL,7.0.0.8,1.0.0.2,32813.8,7.3046,0.386352,0
0.4,13,8,UL,7.0.0.9,1.0.0.2,32813.8,7.36695,0.389032,0
0.4,14,9,UL,7.0.0.10,1.0.0.2,33882.9,6.2143,0.365525,0
0.4,15,10,UL,7.0.0.11,1.0.0.2,32402.6,7.81995,0.41672,0
0.4,16,11,UL,7.0.0.12,1.0.0.2,31826.9,7.89139,0.412475,0
0.4,17,12,UL,7.0.0.13,1.0.0.2,32978.2,9.37688,0.384795,0
0.4,18,13,UL,7.0.0.14,1.0.0.2,33882.9,6.21831,0.369491,0
0.4,19,14,UL,7.0.0.15,1.0.0.2,33882.9,6.19807,0.368139,0
0.5,6,1,UL,7.0.0.2,1.0.0.2,5345.6,12.5848,2.44786,0
0.5,7,2,UL,7.0.0.3,1.0.0.2,5427.84,16.6842,2.74688,0
0.5,8,3,UL,7.0.0.4,1.0.0.2,5181.12,7.62063,1.94955,0
0.5,9,4,UL,7.0.0.5,1.0.0.2,5016.64,11.6651,2.36365,0
0.5,10,5,UL,7.0.0.6,1.0.0.2,59377.3,37.0298,0.437485,0
0.5,11,6,UL,7.0.0.7,1.0.0.2,36679,11.6856,0.435594,0
0.5,12,7,UL,7.0.0.8,1.0.0.2,37419.2,6.32511,0.406384,0
0.5,13,8,UL,7.0.0.9,1.0.0.2,36103.4,6.55834,0.416125,0
0.5,14,9,UL,7.0.0.10,1.0.0.2,35609.9,6.46356,0.415956,0
0.5,15,10,UL,7.0.0.11,1.0.0.2,36021.1,8.00654,0.426991,0
0.5,16,11,UL,7.0.0.12,1.0.0.2,37501.4,7.45667,0.418887,0
0.5,17,12,UL,7.0.0.13,1.0.0.2,36514.6,6.3877,0.402793,0
0.5,18,13,UL,7.0.0.14,1.0.0.2,36679,5.79684,0.394213,0
0.5,19,14,UL,7.0.0.15,1.0.0.2,35116.5,6.09728,0.409429,0
0.6,6,1,UL,7.0.0.2,1.0.0.2,5181.12,10.6961,2.32256,0
0.6,7,2,UL,7.0.0.3,1.0.0.2,4687.68,14.7438,2.62499,0
0.6,8,3,UL,7.0.0.4,1.0.0.2,4934.4,7.87653,2.00718,0
0.6,9,4,UL,7.0.0.5,1.0.0.2,5345.6,11.5578,2.32799,0
0.6,10,5,UL,7.0.0.6,1.0.0.2,35609.9,9.23256,0.424016,0
0.6,11,6,UL,7.0.0.7,1.0.0.2,36925.8,11.1684,0.434726,0
0.6,12,7,UL,7.0.0.8,1.0.0.2,35609.9,5.85889,0.399221,0
0.6,13,8,UL,7.0.0.9,1.0.0.2,34705.3,7.24807,0.427282,0
0.6,14,9,UL,7.0.0.10,1.0.0.2,36021.1,6.29872,0.408408,0
0.6,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.1971,0.428537,0
0.6,16,11,UL,7.0.0.12,1.0.0.2,36021.1,7.60474,0.420682,0
0.6,17,12,UL,7.0.0.13,1.0.0.2,35445.4,7.66091,0.421419,0
0.6,18,13,UL,7.0.0.14,1.0.0.2,34705.3,6.00807,0.407009,0
0.6,19,14,UL,7.0.0.15,1.0.0.2,36103.4,6.21485,0.401081,0
0.7,6,1,UL,7.0.0.2,1.0.0.2,4852.16,11.9347,2.44959,0
0.7,7,2,UL,7.0.0.3,1.0.0.2,5592.32,16.3984,2.54624,0
0.7,8,3,UL,7.0.0.4,1.0.0.2,5345.6,8.03789,1.99109,0
0.7,9,4,UL,7.0.0.5,1.0.0.2,4934.4,10.3613,2.29129,0
0.7,10,5,UL,7.0.0.6,1.0.0.2,35938.9,7.93533,0.415425,0
0.7,11,6,UL,7.0.0.7,1.0.0.2,36679,7.73604,0.414791,0
0.7,12,7,UL,7.0.0.8,1.0.0.2,35527.7,6.34829,0.417525,0
0.7,13,8,UL,7.0.0.9,1.0.0.2,35609.9,8.80335,0.426014,0
0.7,14,9,UL,7.0.0.10,1.0.0.2,34129.6,6.71645,0.417856,0
0.7,15,10,UL,7.0.0.11,1.0.0.2,36185.6,7.74456,0.420195,0
0.7,16,11,UL,7.0.0.12,1.0.0.2,34047.4,9.78854,0.440593,0
0.7,17,12,UL,7.0.0.13,1.0.0.2,35445.4,6.77794,0.405849,0
0.7,18,13,UL,7.0.0.14,1.0.0.2,37254.7,6.48268,0.409542,0
0.7,19,14,UL,7.0.0.15,1.0.0.2,34540.8,6.69213,0.417942,0
0.8,6,1,UL,7.0.0.2,1.0.0.2,5427.84,9.87792,2.26844,0
0.8,7,2,UL,7.0.0.3,1.0.0.2,5098.88,13.3268,2.4547,0
0.8,8,3,UL,7.0.0.4,1.0.0.2,4934.4,7.70031,1.93729,0
0.8,9,4,UL,7.0.0.5,1.0.0.2,5674.56,7.74201,1.93935,0
0.8,10,5,UL,7.0.0.6,1.0.0.2,35198.7,8.62864,0.426275,0
0.8,11,6,UL,7.0.0.7,1.0.0.2,35609.9,8.37616,0.436648,0
0.8,12,7,UL,7.0.0.8,1.0.0.2,36514.6,6.16253,0.405228,0
0.8,13,8,UL,7.0.0.9,1.0.0.2,38652.8,7.68109,0.416656,0
0.8,14,9,UL,7.0.0.10,1.0.0.2,37172.5,6.84962,0.42356,0
0.8,15,10,UL,7.0.0.11,1.0.0.2,35774.4,8.15981,0.440797,0
0.8,16,11,UL,7.0.0.12,1.0.0.2,38735,8.62232,0.414866,0
0.8,17,12,UL,7.0.0.13,1.0.0.2,36679,7.70233,0.416522,0
0.8,18,13,UL,7.0.0.14,1.0.0.2,34787.5,6.72661,0.419767,0
0.8,19,14,UL,7.0.0.15,1.0.0.2,37994.9,7.17652,0.427656,0
0.9,6,1,UL,7.0.0.2,1.0.0.2,5098.88,9.79387,2.2827,0
0.9,7,2,UL,7.0.0.3,1.0.0.2,5098.88,15.9713,2.62233,0
0.9,8,3,UL,7.0.0.4,1.0.0.2,5263.36,8.298,2.12101,0
0.9,9,4,UL,7.0.0.5,1.0.0.2,4687.68,8.69636,2.04385,0
0.9,10,5,UL,7.0.0.6,1.0.0.2,3783.04,11.9644,0.617068,0
0.9,11,6,UL,7.0.0.7,1.0.0.2,36761.3,7.50719,0.413813,0
0.9,12,7,UL,7.0.0.8,1.0.0.2,34623,6.47481,0.417829,0
0.9,13,8,UL,7.0.0.9,1.0.0.2,35363.2,6.42397,0.410734,0
0.9,14,9,UL,7.0.0.10,1.0.0.2,37337,6.63551,0.413262,0
0.9,15,10,UL,7.0.0.11,1.0.0.2,36596.8,8.3133,0.426063,0
0.9,16,11,UL,7.0.0.12,1.0.0.2,35034.2,7.1649,0.422991,0
0.9,17,12,UL,7.0.0.13,1.0.0.2,33965.1,7.2407,0.424857,0
0.9,18,13,UL,7.0.0.14,1.0.0.2,34705.3,6.58852,0.427052,0
0.9,19,14,UL,7.0.0.15,1.0.0.2,36843.5,6.62248,0.412078,0
1,6,1,UL,7.0.0.2,1.0.0.2,5181.12,11.1246,2.37329,0
1,7,2,UL,7.0.0.3,1.0.0.2,4687.68,16.8189,2.70157,0
1,8,3,UL,7.0.0.4,1.0.0.2,5263.36,7.77101,2.05806,0
1,9,4,UL,7.0.0.5,1.0.0.2,5263.36,11.6788,2.35516,0
1,10,5,UL,7.0.0.6,1.0.0.2,66285.4,36.0931,0.431796,0
1,11,6,UL,7.0.0.7,1.0.0.2,37583.7,7.26726,0.416834,0
1,12,7,UL,7.0.0.8,1.0.0.2,37583.7,6.52039,0.405056,0
1,13,8,UL,7.0.0.9,1.0.0.2,35938.9,7.17748,0.423914,0
1,14,9,UL,7.0.0.10,1.0.0.2,35281,6.67879,0.416934,0
1,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.07273,0.429636,0
1,16,11,UL,7.0.0.12,1.0.0.2,36432.3,7.55119,0.42506,0
1,17,12,UL,7.0.0.13,1.0.0.2,37337,8.07475,0.425066,0
1,18,13,UL,7.0.0.14,1.0.0.2,38488.3,6.65541,0.403811,0
1,19,14,UL,7.0.0.15,1.0.0.2,34540.8,6.57884,0.417309,0
1.1,6,1,UL,7.0.0.2,1.0.0.2,5098.88,9.79475,2.28266,0
1.1,7,2,UL,7.0.0.3,1.0.0.2,5345.6,14.9004,2.5565,0
1.1,8,3,UL,7.0.0.4,1.0.0.2,5016.64,7.90468,2.05102,0
1.1,9,4,UL,7.0.0.5,1.0.0.2,5016.64,11.604,2.3478,0
1.1,10,5,UL,7.0.0.6,1.0.0.2,36267.8,9.47812,0.422698,0
1.1,11,6,UL,7.0.0.7,1.0.0.2,35938.9,6.2599,0.410767,0
1.1,12,7,UL,7.0.0.8,1.0.0.2,35527.7,6.4977,0.416024,0
1.1,13,8,UL,7.0.0.9,1.0.0.2,36596.8,8.4411,0.423115,0
1.1,14,9,UL,7.0.0.10,1.0.0.2,34129.6,6.7126,0.418481,0
1.1,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.16462,0.428591,0
1.1,16,11,UL,7.0.0.12,1.0.0.2,34869.8,10.759,0.44383,0
1.1,17,12,UL,7.0.0.13,1.0.0.2,36267.8,7.13958,0.405192,0
1.1,18,13,UL,7.0.0.14,1.0.0.2,35609.9,6.69139,0.419429,0
1.1,19,14,UL,7.0.0.15,1.0.0.2,36350.1,6.97548,0.426014,0
1.2,6,1,UL,7.0.0.2,1.0.0.2,5181.12,9.74185,2.27182,0
