Time,UE_ID,Best_gNB_ID,RSRP_dBm,Distance_m,Handover_Event
2.5,0,0,-48.1,74.5,NO
2.6,1,2,-48.5,78.1,NO
2.7,2,3,-48.1,74.5,NO
2.8,3,5,-48.5,78.1,NO
2.9,4,1,-45.8,58.2,NO
3.0,5,1,-45.3,54.6,NO
3.0,0,0,-48.2,75.3,NO
3.1,6,2,-46.5,62.3,NO
3.1,1,2,-48.4,76.9,NO
3.2,7,2,-45.4,55.5,NO
3.2,2,3,-48.2,75.3,NO
3.3,8,3,-44.2,48.5,NO
3.3,3,5,-48.4,76.9,NO
3.4,9,0,-45.4,55.3,NO
3.4,4,1,-45.8,58.2,NO
3.5,10,5,-45.8,58.2,NO
3.5,5,1,-45.3,54.6,NO
3.5,0,0,-48.3,76.3,NO
3.6,11,5,-45.8,58.2,NO
3.6,6,2,-46.5,62.3,NO
3.6,1,2,-48.2,75.8,NO
3.7,12,4,-45.8,58.2,NO
3.7,7,2,-45.4,55.5,NO
3.7,2,3,-48.3,76.3,NO
3.8,13,4,-45.8,58.2,NO
3.8,8,3,-44.2,48.5,NO
3.8,3,5,-48.2,75.8,NO
3.9,9,0,-45.4,55.3,NO
3.9,4,1,-45.8,58.2,NO
4.0,10,5,-45.8,58.2,NO
4.0,5,1,-45.3,54.6,NO
4.0,0,0,-48.4,77.4,NO
4.1,11,5,-45.8,58.2,NO
4.1,6,2,-46.5,62.3,NO
4.1,1,2,-48.1,74.9,NO
4.2,12,4,-45.8,58.2,NO
4.2,7,2,-45.4,55.5,NO
4.2,2,3,-48.4,77.4,NO
4.3,13,4,-45.8,58.2,NO
4.3,8,3,-44.2,48.5,NO
4.3,3,5,-48.1,74.9,NO
4.4,9,0,-45.4,55.3,NO
4.4,4,1,-45.8,58.2,NO
4.5,10,5,-45.8,58.2,NO
4.5,5,1,-45.3,54.6,NO
4.5,0,0,-48.6,78.7,NO
4.6,11,5,-45.8,58.2,NO
4.6,6,2,-46.5,62.3,NO
4.6,1,2,-48.0,74.2,NO
4.7,12,4,-45.8,58.2,NO
4.7,7,2,-45.4,55.5,NO
4.7,2,3,-48.6,78.7,NO
4.8,13,4,-45.8,58.2,NO
4.8,8,3,-44.2,48.5,NO
4.8,3,5,-48.0,74.2,NO
4.9,9,0,-45.4,55.3,NO
4.9,4,1,-45.8,58.2,NO
5.0,10,5,-45.8,58.2,NO
5.0,5,1,-45.3,54.6,NO
5.0,0,0,-48.7,80.1,NO
5.1,11,5,-45.8,58.2,NO
5.1,6,2,-46.5,62.3,NO
5.1,1,2,-48.0,73.6,NO
5.2,12,4,-45.8,58.2,NO
5.2,7,2,-45.4,55.5,NO
5.2,2,3,-48.7,80.1,NO
5.3,13,4,-45.8,58.2,NO
5.3,8,3,-44.2,48.5,NO
5.3,3,5,-48.0,73.6,NO
5.4,9,0,-45.4,55.3,NO
5.4,4,1,-45.8,58.2,NO
5.5,10,5,-45.8,58.2,NO
5.5,5,1,-45.3,54.6,NO
5.5,0,0,-48.9,81.7,NO
5.6,11,5,-45.8,58.2,NO
5.6,6,2,-46.5,62.3,NO
5.6,1,2,-47.9,73.2,NO
5.7,12,4,-45.8,58.2,NO
5.7,7,2,-45.4,55.5,NO
5.7,2,3,-48.9,81.7,NO
5.8,13,4,-45.8,58.2,NO
5.8,8,3,-44.2,48.5,NO
5.8,3,5,-47.9,73.2,NO
5.9,9,0,-45.4,55.3,NO
5.9,4,1,-45.8,58.2,NO
6.0,10,5,-45.8,58.2,NO
6.0,5,1,-45.3,54.6,NO
6.0,0,0,-49.1,83.4,NO
6.1,11,5,-45.8,58.2,NO
6.1,6,2,-46.5,62.3,NO
6.1,1,2,-47.9,73.1,NO
6.2,12,4,-45.8,58.2,NO
6.2,7,2,-45.4,55.5,NO
6.2,2,3,-49.1,83.4,NO
6.3,13,4,-45.8,58.2,NO
6.3,8,3,-44.2,48.5,NO
6.3,3,5,-47.9,73.1,NO
6.4,9,0,-45.4,55.3,NO
6.4,4,1,-45.8,58.2,NO
6.5,10,5,-45.8,58.2,NO
6.5,5,1,-45.3,54.6,NO
6.5,0,1,-49.1,83.4,YES
6.6,11,5,-45.8,58.2,NO
6.6,6,2,-46.5,62.3,NO
6.6,1,2,-47.9,73.1,NO
6.7,12,4,-45.8,58.2,NO
6.7,7,2,-45.4,55.5,NO
6.7,2,4,-49.1,83.4,YES
6.8,13,4,-45.8,58.2,NO
6.8,8,3,-44.2,48.5,NO
6.8,3,5,-47.9,73.1,NO
6.9,9,0,-45.4,55.3,NO
6.9,4,1,-45.8,58.2,NO
7.0,10,5,-45.8,58.2,NO
7.0,5,1,-45.3,54.6,NO
7.0,0,1,-48.9,81.8,NO
7.1,11,5,-45.8,58.2,NO
7.1,6,2,-46.5,62.3,NO
7.1,1,2,-47.9,73.2,NO
7.2,12,4,-45.8,58.2,NO
7.2,7,2,-45.4,55.5,NO
7.2,2,4,-48.9,81.8,NO
7.3,13,4,-45.8,58.2,NO
7.3,8,3,-44.2,48.5,NO
7.3,3,5,-47.9,73.2,NO
7.4,9,0,-45.4,55.3,NO
7.4,4,1,-45.8,58.2,NO
7.5,10,5,-45.8,58.2,NO
7.5,5,1,-45.3,54.6,NO
7.5,0,1,-48.8,80.2,NO
7.6,11,5,-45.8,58.2,NO
7.6,6,2,-46.5,62.3,NO
7.6,1,2,-48.0,73.6,NO
7.7,12,4,-45.8,58.2,NO
7.7,7,2,-45.4,55.5,NO
7.7,2,4,-48.8,80.2,NO
7.8,13,4,-45.8,58.2,NO
7.8,8,3,-44.2,48.5,NO
7.8,3,5,-48.0,73.6,NO
7.9,9,0,-45.4,55.3,NO
7.9,4,1,-45.8,58.2,NO
8.0,10,5,-45.8,58.2,NO
8.0,5,1,-45.3,54.6,NO
8.0,0,1,-48.6,78.8,NO
