Time,UE_ID,X,Y,Z,Speed_ms
2.000,0,54.489,7.477,1.700,0.000
2.100,1,-7.477,54.489,1.700,0.000
2.200,2,-54.489,-7.477,1.700,0.000
2.300,3,7.477,-54.489,1.700,0.000
2.400,4,40.000,60.000,2.500,0.000
2.500,5,60.000,60.000,2.500,0.000
2.500,0,54.093,9.945,1.700,0.000
2.600,6,-30.000,60.000,2.500,0.000
2.700,7,-70.000,60.000,2.500,0.000
2.700,1,-9.945,54.093,1.700,0.000
2.800,8,-90.000,-20.000,2.500,0.000
2.900,9,80.000,-20.000,2.500,0.000
2.900,2,-54.093,-9.945,1.700,0.000
3.000,10,80.000,-60.000,2.500,0.000
3.000,5,60.000,60.000,2.500,0.000
3.000,0,53.586,12.393,1.700,0.000
3.100,11,40.000,-60.000,2.500,0.000
3.100,3,9.945,-54.093,1.700,0.000
3.200,12,-40.000,-60.000,2.500,0.000
3.200,6,-30.000,60.000,2.500,0.000
3.300,13,-80.000,-60.000,2.500,0.000
3.300,4,40.000,60.000,2.500,0.000
3.300,1,-12.393,53.586,1.700,0.000
3.400,7,-70.000,60.000,2.500,0.000
3.500,10,80.000,-60.000,2.500,0.000
3.500,5,60.000,60.000,2.500,0.000
3.500,0,52.967,14.815,1.700,0.000
3.600,8,-90.000,-20.000,2.500,0.000
3.600,2,-52.967,-14.815,1.700,0.000
3.700,11,40.000,-60.000,2.500,0.000
3.800,9,80.000,-20.000,2.500,0.000
3.800,6,-30.000,60.000,2.500,0.000
3.900,3,14.815,-52.967,1.700,0.000
3.900,12,-40.000,-60.000,2.500,0.000
3.900,1,-14.815,52.967,1.700,0.000
4.000,10,80.000,-60.000,2.500,0.000
4.000,5,60.000,60.000,2.500,0.000
4.000,0,52.239,17.206,1.700,0.000
4.100,13,-80.000,-60.000,2.500,0.000
4.100,7,-70.000,60.000,2.500,0.000
4.200,4,40.000,60.000,2.500,0.000
4.300,2,-52.239,-17.206,1.700,0.000
4.300,11,40.000,-60.000,2.500,0.000
4.400,8,-90.000,-20.000,2.500,0.000
4.400,6,-30.000,60.000,2.500,0.000
4.500,1,-19.562,51.404,1.700,0.000
4.500,10,80.000,-60.000,2.500,0.000
4.500,5,60.000,60.000,2.500,0.000
4.500,0,51.404,19.562,1.700,0.000
4.600,12,-40.000,-60.000,2.500,0.000
4.700,9,80.000,-20.000,2.500,0.000
4.700,3,19.562,-51.404,1.700,0.000
4.800,7,-70.000,60.000,2.500,0.000
4.900,13,-80.000,-60.000,2.500,0.000
4.900,11,40.000,-60.000,2.500,0.000
5.000,2,-51.404,-19.562,1.700,0.000
5.000,6,-30.000,60.000,2.500,0.000
5.000,10,80.000,-60.000,2.500,0.000
5.000,5,60.000,60.000,2.500,0.000
5.000,0,50.462,21.878,1.700,0.000
5.100,4,40.000,60.000,2.500,0.000
5.100,1,-21.878,50.462,1.700,0.000
5.200,8,-90.000,-20.000,2.500,0.000
5.300,12,-40.000,-60.000,2.500,0.000
5.500,3,21.878,-50.462,1.700,0.000
5.500,7,-70.000,60.000,2.500,0.000
5.500,11,40.000,-60.000,2.500,0.000
5.500,10,80.000,-60.000,2.500,0.000
5.500,5,60.000,60.000,2.500,0.000
5.500,0,49.415,24.148,1.700,0.000
5.600,9,80.000,-20.000,2.500,0.000
5.600,6,-30.000,60.000,2.500,0.000
5.700,13,-80.000,-60.000,2.500,0.000
5.700,2,-49.415,-24.148,1.700,0.000
5.700,1,-24.148,49.415,1.700,0.000
6.000,4,40.000,60.000,2.500,0.000
6.000,8,-90.000,-20.000,2.500,0.000
6.000,12,-40.000,-60.000,2.500,0.000
6.000,10,80.000,-60.000,2.500,0.000
6.000,5,60.000,60.000,2.500,0.000
6.000,0,48.267,26.368,1.700,0.000
6.100,11,40.000,-60.000,2.500,0.000
6.200,7,-70.000,60.000,2.500,0.000
6.200,6,-30.000,60.000,2.500,0.000
6.300,3,26.368,-48.267,1.700,0.000
6.300,1,-26.368,48.267,1.700,0.000
6.400,2,-48.267,-26.368,1.700,0.000
6.500,9,80.000,-20.000,2.500,0.000
6.500,13,-80.000,-60.000,2.500,0.000
6.500,10,80.000,-60.000,2.500,0.000
6.500,5,60.000,60.000,2.500,0.000
6.500,0,47.019,28.534,1.700,0.000
6.700,12,-40.000,-60.000,2.500,0.000
6.700,11,40.000,-60.000,2.500,0.000
6.800,8,-90.000,-20.000,2.500,0.000
6.800,6,-30.000,60.000,2.500,0.000
6.900,4,40.000,60.000,2.500,0.000
6.900,7,-70.000,60.000,2.500,0.000
6.900,1,-28.534,47.019,1.700,0.000
7.000,10,80.000,-60.000,2.500,0.000
7.000,5,60.000,60.000,2.500,0.000
7.000,0,45.674,30.641,1.700,0.000
7.100,3,28.534,-47.019,1.700,0.000
