timestamp,average_signal_strength
0.0,-100.34166084364534
1.0,-100.34166084364534
2.0,-100.34166084364534
3.0,-100.34166084364534
4.0,-100.34166084364534
5.0,-100.34166084364534
6.0,-100.34166084364534
7.0,-100.34166084364534
8.0,-100.34166084364534
9.0,-100.34166084364534
10.0,-100.34166084364534
11.0,-100.34166084364534
12.0,-100.34166084364534
13.0,-100.34166084364534
14.0,-100.34166084364534
15.0,-100.34166084364534
16.0,-100.34166084364534
17.0,-100.34166084364534
18.0,-100.34166084364534
19.0,-100.34166084364534
20.0,-100.34166084364534
21.0,-100.34166084364534
22.0,-100.34166084364534
23.0,-100.34166084364534
24.0,-100.34166084364534
25.0,-100.34166084364534
26.0,-100.34166084364534
27.0,-100.34166084364534
28.0,-100.34166084364534
29.0,-100.34166084364534
30.0,-100.34166084364534
31.0,-100.34166084364534
32.0,-100.34166084364534
33.0,-100.34166084364534
34.0,-100.34166084364534
35.0,-100.34166084364534
36.0,-100.34166084364534
37.0,-100.34166084364534
38.0,-100.34166084364534
39.0,-100.34166084364534
40.0,-100.34166084364534
41.0,-100.34166084364534
42.0,-100.34166084364534
43.0,-100.34166084364534
44.0,-100.34166084364534
45.0,-100.34166084364534
46.0,-100.34166084364534
47.0,-100.34166084364534
48.0,-100.34166084364534
49.0,-100.34166084364534
50.0,-100.34166084364534
51.0,-100.34166084364534
52.0,-100.34166084364534
53.0,-100.34166084364534
54.0,-100.34166084364534
55.0,-100.34166084364534
56.0,-100.34166084364534
57.0,-100.34166084364534
58.0,-100.34166084364534
59.0,-100.34166084364534
